AQSID,DataSource,GMTOffset,LocalTimeString,OZONE,OZONE_AQI,OZONE_AQI_LABEL,OZONE_AQI_SORT,OZONE_Measured,OZONE_Unit,SiteName,Status,ValidTime,ObjectId,MonitorType,x,y
240313001,Maryland Department of the Environment,-5,2024-10-24 21:00:00 GMT-5,23,22,22,22,1,PPB,Rockville,Active,1729821600000,628434836,Permanent,-8583501.178606339,4738071.520322589
80039SE02,Sistema Integral de Monitoreo Ambiental,-6,2024-10-24 20:00:00 GMT-6,,,ND,-999,1,,Juarez,Active,1729821600000,628434840,Permanent,-11142586.769867564,2955315.7620515353
471650007,Tennessee Air Pollution Control Div.,-6,2024-10-24 20:00:00 GMT-6,9,20,20,20,1,PPB,HVILLE,Active,1729821600000,628434842,Permanent,-9646112.175964138,4341634.506784133
040134008,Maricopa County Air Quality Department,-7,2024-10-24 19:00:00 GMT-7,,,ND,-999,1,,Cave Creek,Active,1729821600000,628434846,Permanent,-12469719.927986443,4004885.7453916403
482011015,Texas Commission on Environmental Quality,-6,2024-10-24 20:00:00 GMT-6,26,31,31,31,1,PPB,Lynchburg Ferry C1015,Active,1729821600000,628434850,Permanent,-10584045.677591944,3473301.4666264756
000101301,Metro Vancouver,-8,2024-10-24 18:00:00 GMT-8,11,15,15,15,1,PPB,Langley,Active,1729821600000,628434852,Permanent,-13644089.348889714,6291091.508924428
484390075,Texas Commission on Environmental Quality,-6,2024-10-24 20:00:00 GMT-6,45,40,40,40,1,PPB,Eagle Mountain Lake C75,Active,1729821600000,628434855,Permanent,-10851023.212361451,3893724.543927027
060719004,South Coast AQMD,-8,2024-10-24 18:00:00 GMT-8,55,54,54,54,1,PPB,San Bernadino - 4th Street,Active,1729821600000,628434859,Permanent,-13054888.976418283,4043135.285577818
060711234,Mojave Desert AQMD,-8,2024-10-24 18:00:00 GMT-8,41,40,40,40,1,PPB,Trona - Athol and Telegraph,Active,1729821600000,628434860,Permanent,-13065803.407212602,4269630.943676601
764TPCD0016T,Thailand Pollution Control Department,7,2024-10-25 09:00:00 GMT+7,,,ND,-999,1,,South Bangkok Power Plant,Active,1729821600000,628434861,Permanent,11193864.980106575,1530426.7490443976
550410007,Wisconsin Dept. of Natural Resources,-6,2024-10-24 20:00:00 GMT-6,39,38,38,38,1,PPB,POTAWATOMI,Active,1729821600000,628434862,Permanent,-9886283.977350626,5710737.194353155
181730011,Indiana Dept. of Environmental Management,-6,2024-10-24 20:00:00 GMT-6,25,29,29,29,1,PPB,Dayville,Active,1729821600000,628434864,Permanent,-9720603.5056598,4572992.27532792
CC0040501,Canada-New Brunswick1,-4,2024-10-24 22:00:00 GMT-4,,,ND,-999,1,,PT LEPREAU,Active,1729821600000,628434866,Permanent,-7399005.802862037,5633336.439146779
051430006,Arkansas Department of Environmental Quality,-6,2024-10-24 20:00:00 GMT-6,,42,42,42,1,,Fayetteville,Active,1729821600000,628434874,Permanent,-10482677.14740017,4302227.26488303
840482091630,Capital Area Council of Governments,-6,2024-10-24 20:00:00 GMT-6,32,29,29,29,1,PPB,CAPCOG Lake Kyle Park,Active,1729821600000,628434880,Permanent,-10894019.92040239,3501859.3885334875
